"tv_name","ticket_title","ticket_class","ticket_text"
"StellarWave A9","A9 for sunlit loft � anti-glare performance","sales enquiry","My living room is basically a glass box. How does the A9 handle reflections in bright daylight and evening lamps without turning into a mirror?"
"StellarWave A9","Does A9 support 4K 144Hz for PC gaming","sales enquiry","I want this for my gaming rig. Can the A9 do 4K at 144Hz with VRR enabled and full chroma from a modern GPU?"
"StellarWave A9","Wall mount spacing and VESA pattern for A9","sales enquiry","I already have a wall mount installed. What VESA pattern and screw depth does the A9 require to be safely mounted?"
"StellarWave A9","Is there a matte screen option for A9","sales enquiry","Do you offer a matte or semi matte screen finish on the A9, or is it a glossy panel only?"
"StellarWave A9","Color accuracy out of box or calibrate needed","sales enquiry","I do photo editing on a connected PC. How accurate are the factory picture modes and is calibration strongly recommended?"
"StellarWave A9","How wide are the stand feet on A9","sales enquiry","My media cabinet is not very wide. What is the distance between the feet in the narrow and wide stand positions?"
"StellarWave A9","eARC passthrough for DTS and Atmos on A9","sales enquiry","I have a sound system that loves lossless. Will the A9 pass Dolby Atmos and DTS formats cleanly over eARC without downmixing?"
"StellarWave A9","Does A9 have native app for CrunchStream","sales enquiry","We watch CrunchStream every week. Is there a native app on the A9 or do I need a separate streaming stick?"
"StellarWave A9","Warranty length and coverage for panel burn","sales enquiry","What is the standard warranty duration, and does it cover panel burn, banding, or pixel defects out of the box?"
"StellarWave A9","Can A9 run on 220V in EU and US","sales enquiry","I split time between the US and Spain. Is the A9 dual voltage and safe to use on 110 and 220 without a transformer?"
"StellarWave A9","Energy usage in Eco mode for A9","sales enquiry","Trying to be mindful of power draw. Do you have typical wattage numbers for Eco mode versus Standard and HDR?"
"StellarWave A9","Is there a silver bezel version of A9","sales enquiry","Our decor is light and airy. Does the A9 come in a silver or white bezel variant, or only black?"
"StellarWave A9","When will 77 inch A9 be back in stock","sales enquiry","I have my heart set on the 77 inch model. Any estimate on restock dates so I can plan delivery and install?"
"StellarWave A9","Does A9 include a low-profile wall mount","sales enquiry","Does the package include a slim mount or is that a separate purchase, and what is the profile off the wall?"
"StellarWave A9","Trade-in promos for my old TV toward A9","sales enquiry","I have a functioning 55 inch set to trade. Are there any current trade in deals or loyalty discounts on the A9?"
"StellarWave A9","Input lag numbers for A9 game mode","sales enquiry","Competitive gaming needs fast response. What are the measured input lag figures for SDR and HDR in game mode?"
"StellarWave A9","Remote is solar or battery on A9","sales enquiry","Is the A9 remote rechargeable or solar assisted, or will I need to replace standard batteries every few months?"
"StellarWave A9","How many HDMI 2.1 ports on A9","sales enquiry","Between a console and a PC I need multiple 2.1 ports. How many full bandwidth HDMI 2.1 inputs are on the A9?"
"StellarWave A9","Can A9 pair with Bluetooth headphones","sales enquiry","Late night movies are a must. Can I pair two Bluetooth headphones at once for silent viewing without delay?"
"StellarWave A9","Shipping box dimensions of A9 65 for elevator","sales enquiry","Will the 65 inch A9 carton fit in a standard apartment elevator, and what are the boxed dimensions and weight?"
"StellarWave A9","Supports Dolby Vision Gaming on A9","sales enquiry","Does the A9 support Dolby Vision Gaming at 120Hz on consoles, and can I disable it per input if needed?"
"StellarWave A9","Can I disable motion smoothing on A9","sales enquiry","I am allergic to soap opera effect. Can motion processing be fully turned off and saved per input and mode?"
"StellarWave A9","Does A9 have PIP or multiview","sales enquiry","Can the A9 display two sources at once, like a game console and a TV channel, with sound swapping on the fly?"
"StellarWave A9","Compatibility with Apple AirPlay and HomeKit","sales enquiry","Our home is Apple centric. Does the A9 support AirPlay casting and can it be added to HomeKit scenes?"
"StellarWave A9","What is the panel type on A9","sales enquiry","Curious about the tech under the hood. Is the A9 using an OLED, QLED, or some other panel type with local dimming?"
"StellarWave A9","Is the A9 good for PS5 and Xbox Series X","sales enquiry","Looking for a future proof screen. Does it support 4K 120Hz, VRR, ALLM, and fast mode on both consoles?"
"StellarWave A9","Can A9 act as a smart home hub","sales enquiry","I would love fewer boxes. Can the A9 control smart lights, thermostats, and cameras without extra hubs?"
"StellarWave A9","Does A9 include calibration patterns","sales enquiry","For a quick tune up at home, does the A9 include built in test patterns or a simple calibration wizard?"
"StellarWave A9","Extended warranty options for A9","sales enquiry","Do you offer extended protection plans beyond the standard warranty, and can they be added later?"
"StellarWave A9","Can A9 stand be centered or wide","sales enquiry","My console is narrow. Can I choose a center stand configuration, or are the feet always set to a wide stance?"
"StellarWave A9","Distance between VESA holes on A9","sales enquiry","Before I order a mount, what are the exact horizontal and vertical distances for the VESA holes on the A9?"
"StellarWave A9","Availability of spare remotes for A9","sales enquiry","Household of five here. Can I buy an extra remote for the A9 and pair both to the same TV?"
"StellarWave A9","Is there a game bar overlay on A9","sales enquiry","Does the A9 show a game info overlay with FPS, VRR status, and HDR flags while I play?"
"StellarWave A9","Maximum brightness in HDR on A9","sales enquiry","In a bright room I need punch. What are the typical and peak brightness numbers for HDR movies on the A9?"
"StellarWave A9","How loud are the built-in speakers A9","sales enquiry","If I skip the soundbar, will the A9 speakers fill a medium room, and do they distort at higher volumes?"
"StellarWave A9","Can I set custom picture modes per input A9","sales enquiry","I want different settings for console and cable. Can the A9 save picture modes per input automatically?"
"StellarWave A9","Does A9 support Wi-Fi 6","sales enquiry","My router is Wi-Fi 6. Will the A9 take advantage of it for faster app loads and stable 4K streaming?"
"StellarWave A9","Recording live TV to USB on A9","sales enquiry","We time shift free to air content. Can the A9 record broadcast TV to a USB drive and schedule timers?"
"StellarWave A9","Voice assistant compatibility on A9","sales enquiry","Do I get built in voice control, and can I use Alexa or Google without an external speaker?"
"StellarWave A9","Is screen reflection a mirror at night A9","sales enquiry","We have dim lighting at night. Does the A9 reflect faces and lamps strongly when watching dark films?"
"StellarWave A9","Return policy window if A9 not a fit","sales enquiry","If the size or look does not work in our space, what is the return window and restocking policy?"
"StellarWave A9","Can A9 join 5GHz hidden SSIDs","sales enquiry","For security reasons we hide our network. Can the A9 connect to a hidden 5GHz SSID without issues?"
"StellarWave A9","Will A9 work with my old ARC receiver","sales enquiry","My receiver is ARC only. Will the A9 still send TV audio reliably, or is eARC required?"
"StellarWave A9","Is there a cable management channel A9","sales enquiry","Clean setup matters to me. Does the stand or back panel include cable routing to hide wires?"
"StellarWave A9","Do you offer white-glove install for A9","sales enquiry","I would like delivery and mount done in one visit. Do you have a white glove service and what does it cost?"
"StellarWave A9","Is the A9 bezelless on all sides","sales enquiry","I love edge to edge designs. Are the bezels minimal on all four sides or is there a thicker bottom chin?"
"StellarWave A9","Can A9 calibrate via CalMAN","sales enquiry","Does the A9 support CalMAN or AutoCal for pro calibration, and is a special adapter required?"
"StellarWave A9","Ambient mode and art displays A9","sales enquiry","Can the A9 show art or ambient info when idle, and does it use a light sensor to keep power usage low?"
"StellarWave A9","Does A9 support FreeSync and G-SYNC","sales enquiry","We have both AMD and NVIDIA gear. Is the A9 certified for FreeSync and G-SYNC compatible modes?"
"StellarWave A9","Any bundle with soundbar for A9","sales enquiry","Looking for a one shot deal. Do you have a discounted bundle that includes a matching soundbar with the A9?"
"StellarWave A9","A9 screen flickers on the right edge","service issue","Just set it up and I am seeing a faint flicker along the right edge during bright scenes. It is subtle but persistent."
"StellarWave A9","Remote not pairing with A9 after update","service issue","After the software update the remote stopped responding. I tried new batteries and holding the pair button with no luck."
"StellarWave A9","A9 stuck on boot logo loop","service issue","The TV powers on to the logo then restarts endlessly. I cannot reach the settings menu to factory reset."
"StellarWave A9","No sound via eARC on A9 with my AVR","service issue","Picture comes through fine but there is no audio on my receiver. The TV reports eARC connected yet stays silent."
"StellarWave A9","Wi-Fi keeps dropping on A9","service issue","Every hour or so the TV says it is offline, then reconnects on its own. Streaming pauses and the family is not amused."
"StellarWave A9","Dead pixel cluster on new A9","service issue","On a gray screen I see a small cluster of dead pixels near the top left. This is a day one issue from unboxing."
"StellarWave A9","A9 shows banding in dark scenes","service issue","Watching space documentaries shows obvious color steps in gradients. Is there a fix to reduce the banding?"
"StellarWave A9","CEC turns on devices randomly A9","service issue","At 3 AM my receiver and console turn on by themselves. I think CEC is misbehaving and waking the chain."
"StellarWave A9","Bluetooth headphones stutter on A9","service issue","Audio skips every few seconds when paired to my headphones. Tried two different models and both stutter."
"StellarWave A9","Vertical line appeared on A9 panel","service issue","A thin green vertical line has appeared from top to bottom on the right third of the screen. It is visible on all inputs."
"StellarWave A9","A9 won�t power on, red light blinks","service issue","The standby light blinks in a pattern and the screen stays black. I have tried different outlets and cords."
"StellarWave A9","App store missing on A9 home screen","service issue","I cannot find the app store tile anymore. It was there yesterday and now it has vanished from the interface."
"StellarWave A9","HDMI 2.1 port not detecting console","service issue","My console only works on HDMI 1. The HDMI 2.1 labeled port says no signal even with a certified cable."
"StellarWave A9","Audio sync delay on A9 internal apps","service issue","Voices are slightly behind the lips on built in streaming apps. External HDMI sources are fine."
"StellarWave A9","A9 overscans cable input","service issue","The cable box image is cut off at the edges. I cannot find a no overscan option that sticks between channels."
"StellarWave A9","Soap opera effect won�t turn off A9","service issue","Even after disabling motion smoothing the picture still looks too smooth. Is there a hidden setting I missed?"
"StellarWave A9","Update fails at 30 percent A9","service issue","The update downloads but install halts at 30 percent every time. I have tried different networks and a USB file."
"StellarWave A9","A9 overheating warning after 2 hours","service issue","After a couple of hours the TV pops up a temperature warning and dims. The room is cool and ventilated."
"StellarWave A9","Speakers crackle at moderate volume A9","service issue","At volume 30 the built in speakers make a crackling sound during bass notes. It happens in apps and HDMI."
"StellarWave A9","A9 remote voice button not responding","service issue","Every button works except the voice button which does nothing. The mic icon never appears on screen."
"StellarWave A9","Dimming zones flicker during credits A9","service issue","During end credits the brightness pulses up and down. It is distracting and looks like blooming pumping."
"StellarWave A9","A9 won�t join WPA3 network","service issue","Our router is set to WPA3 only and the TV refuses to connect. Is WPA3 supported or do I need mixed mode?"
"StellarWave A9","Colors look washed out in HDR A9","service issue","HDR content appears flat with lifted blacks. SDR looks fine. I tested multiple apps and inputs."
"StellarWave A9","USB media won�t play MKV on A9","service issue","The TV sees my drive but refuses to play certain MKV files. It shows unsupported codec despite common formats."
"StellarWave A9","Stand screws missing in A9 box","service issue","Unboxed everything and the stand screws are not in the packaging. I cannot assemble the stand without them."
"StellarWave A9","Wall mount pattern doesn�t match A9","service issue","My universal mount says it supports the pattern listed, but the bolts will not thread properly. Please advise."
"StellarWave A9","A9 randomly changes inputs","service issue","While watching HDMI 1 the TV suddenly flips to HDMI 2 by itself. It has happened three times this week."
"StellarWave A9","Game mode greys out settings on A9","service issue","In game mode most picture options are locked out. I would like to adjust color and gamma without disabling it."
"StellarWave A9","Cannot rename inputs on A9","service issue","The rename option is present but returns an error when I try to save. Labels revert after a reboot."
"StellarWave A9","A9 shows haloing around subtitles","service issue","White subtitles on dark scenes cause a glow around the text. Is there a local dimming tweak to reduce this?"
"StellarWave A9","Dolby Vision dark mode too dim A9","service issue","Dolby Vision dark mode is unwatchable during the day. Even bright mode still looks too dim compared to HDR10."
"StellarWave A9","A9 forgets picture settings after reboot","service issue","Every time I power cycle the TV my calibrated settings reset to defaults. This is extremely frustrating."
"StellarWave A9","Screen uniformity dirty screen effect A9","service issue","During sports pans I see dirty screen patches across the center. Is panel exchange possible under warranty?"
"StellarWave A9","A9 sports motion blur noticeable","service issue","Fast moving football scenes show smearing trails. I expected better motion handling for live sports."
"StellarWave A9","Network speed test stuck at 0 A9","service issue","The built in network test never progresses past zero, yet apps do stream. Something is bugged in diagnostics."
"StellarWave A9","A9 IR sensor seems unresponsive","service issue","Remote commands only work when I stand very close. The IR receiver seems weak or blocked even with clear line."
"StellarWave A9","Playback judder at 24p on A9","service issue","24p movies look jittery even with motion off. Is the TV doing frame rate conversion that I cannot disable?"
"StellarWave A9","Ambient mode drains power A9","service issue","With ambient mode on, my energy meter shows high idle usage. Is there a low power setting I can enable?"
"StellarWave A9","A9 cannot detect 1440p signal","service issue","My PC sends 1440p at 120Hz but the TV only accepts 1080p or 4K. Is 1440p support planned in firmware?"
"StellarWave A9","Captions out of sync on A9 apps","service issue","Closed captions lag behind dialog by a second in multiple apps. External HDMI sources do not have this issue."
"StellarWave A9","Sleep timer turns off too early A9","service issue","I set a 60 minute sleep timer and the TV shuts down around 45 minutes. The timing seems inaccurate."
"StellarWave A9","A9 light sensor too aggressive","service issue","The auto brightness jumps down during dim scenes and ruins the mood. I would like to tone down the sensor."
"StellarWave A9","Color tint on left side A9","service issue","There is a slight pink tint on the left side visible on gray slides. It is subtle but noticeable during sports."
"StellarWave A9","A9 Bluetooth keyboard not recognized","service issue","I tried pairing a Bluetooth keyboard for searches but the TV refuses to detect it. Mouse pairs, keyboard not."
"StellarWave A9","Local dimming option missing A9","service issue","The local dimming setting disappeared from the menu after an update. It used to be available in all modes."
"StellarWave A9","A9 ARC causing TV to mute randomly","service issue","With ARC enabled the TV audio mutes randomly for a second. Disabling ARC fixes it but then I lose convenience."
"StellarWave A9","Remote backlight flickers A9","service issue","The remote button lights flicker when pressed and sometimes stay on. It eats batteries quickly."
"StellarWave A9","A9 screen clicks as it warms up","service issue","After power on I hear occasional clicking from the panel as it warms. Is this normal or a sign of stress?"
"StellarWave A9","Cannot log into streaming app on A9","service issue","One streaming app refuses my correct credentials while they work on other devices. Cache clear did not help."
"StellarWave A9","A9 power cord too short for setup","service issue","The included power cable barely reaches my surge protector. Do you offer a longer official cord option?"
"Luminor Arc 65","Arc 65 vs previous model � what�s new","sales enquiry","I skipped last year. What are the headline improvements on the Arc 65 in brightness, processing, and gaming features?"
"Luminor Arc 65","Does Arc 65 have anti-glare nano coating","sales enquiry","Our windows face the TV. Does the Arc 65 use a special anti glare surface that diffuses reflections well?"
"Luminor Arc 65","Arc 65 supports 4K 120Hz with VRR","sales enquiry","For sports and gaming I want 120Hz. Does the Arc 65 handle 4K 120 with VRR and ALLM without dropouts?"
"Luminor Arc 65","Is Arc 65 safe for wall over fireplace","sales enquiry","Thinking of mounting above a fireplace. What are the recommended temperature and clearance guidelines?"
"Luminor Arc 65","Arc 65 packaging size for small hatchback","sales enquiry","Can the boxed Arc 65 fit in a small hatchback if I fold the seats, and what are the exact carton dimensions?"
"Luminor Arc 65","Which mounts fit Arc 65 VESA","sales enquiry","I have a tilt mount rated for 40 kg. Will it fit the Arc 65 VESA spacing and load requirements?"
"Luminor Arc 65","Arc 65 sound system power rating","sales enquiry","I like punchy audio. What is the RMS rating of the Arc 65 speakers, and is there a built in sub or bass radiator?"
"Luminor Arc 65","Will Arc 65 work with Google Home","sales enquiry","My home is Google centric. Can I control the Arc 65 with voice commands and routines via Google Home?"
"Luminor Arc 65","How thin is Arc 65 on wall","sales enquiry","Looking for a floating look. How close to the wall can the Arc 65 sit with a low profile mount?"
"Luminor Arc 65","Arc 65 shipping lead times","sales enquiry","If I order today, what is the estimated ship date and delivery window for the Arc 65 to my zip code?"
"Luminor Arc 65","Arc 65 color options","sales enquiry","Does the Arc 65 come in more than one color trim, or is it only available in a black finish?"
"Luminor Arc 65","Return policy holiday extended","sales enquiry","I want to buy early. Is there an extended holiday return window for the Arc 65 purchases this season?"
"Luminor Arc 65","Arc 65 store demo near me","sales enquiry","Is there a showroom displaying the Arc 65 so I can compare picture quality in person before buying?"
"Luminor Arc 65","Does Arc 65 include cable clips","sales enquiry","Cable management is key. Does the Arc 65 include any clips or channels to route HDMI and power neatly?"
"Luminor Arc 65","Arc 65 screen protector available","sales enquiry","We have curious cats. Do you sell a compatible screen protector or recommend a third party option?"
"Luminor Arc 65","Can Arc 65 do multi-view sports","sales enquiry","Game day needs two feeds. Does the Arc 65 support multi view or split screen with two HDMI sources?"
"Luminor Arc 65","Arc 65 HDR formats supported","sales enquiry","Which HDR formats does the Arc 65 support out of the box, and can I switch tone mapping behavior per input?"
"Luminor Arc 65","Energy star rating Arc 65","sales enquiry","Trying to keep bills low. Is the Arc 65 Energy Star certified and what is its typical wattage in SDR and HDR?"
"Luminor Arc 65","Arc 65 input lag numbers","sales enquiry","Do you have measured input lag in milliseconds for both 60Hz and 120Hz when game mode is enabled?"
"Luminor Arc 65","Any student discount on Arc 65","sales enquiry","I am a student on a budget. Are there student or education discounts available for the Arc 65?"
"Luminor Arc 65","Arc 65 and soundbar bundle","sales enquiry","Looking for a matched set. Do you offer a bundle that pairs the Arc 65 with a compatible soundbar and sub?"
"Luminor Arc 65","Arc 65 eARC passthrough support","sales enquiry","Will the Arc 65 pass through lossless audio from HDMI sources to an eARC receiver without resampling?"
"Luminor Arc 65","Arc 65 panel type and contrast","sales enquiry","Interested in black levels. What panel technology does the Arc 65 use and how many dimming zones are there?"
"Luminor Arc 65","Arc 65 OSD languages list","sales enquiry","Do you have a list of on screen display languages supported on the Arc 65 for relatives visiting abroad?"
"Luminor Arc 65","Arc 65 firmware update cadence","sales enquiry","How often do you release firmware updates, and do they arrive automatically or require user intervention?"
"Luminor Arc 65","Arc 65 remote rechargeable","sales enquiry","Does the remote have a rechargeable battery via USB C, or is it replaceable cells only?"
"Luminor Arc 65","Arc 65 feet spacing length","sales enquiry","My stand is 47 inches wide. What is the maximum and minimum distance between the Arc 65 feet?"
"Luminor Arc 65","Arc 65 works on 50Hz mains","sales enquiry","I am moving to Australia next year. Can the Arc 65 handle 230V 50Hz mains without any issues?"
"Luminor Arc 65","Arc 65 USB ports count and power","sales enquiry","How many USB ports does the Arc 65 include and what is the max power output for bus powered drives?"
"Luminor Arc 65","Arc 65 CalMAN AutoCal support","sales enquiry","I plan to calibrate. Does the Arc 65 support AutoCal workflows and 3D LUT uploads through CalMAN?"
"Luminor Arc 65","Arc 65 smart OS app selection","sales enquiry","Is the app store broad enough for all major services, and how fast is the interface when browsing?"
"Luminor Arc 65","Arc 65 brightness for daytime","sales enquiry","Our family room is very bright. Does the Arc 65 have enough nits to hold contrast mid day without curtains?"
"Luminor Arc 65","Arc 65 includes ambient art","sales enquiry","We love art displays when idle. Does the Arc 65 include an ambient gallery with light aware dimming?"
"Luminor Arc 65","Arc 65 Bluetooth multipoint","sales enquiry","Can the Arc 65 connect to two Bluetooth headphones at the same time for silent movie nights?"
"Luminor Arc 65","Arc 65 Wi-Fi 6E capable","sales enquiry","My new router is Wi-Fi 6E. Will the Arc 65 use the 6 GHz band for improved stability and speed?"
"Luminor Arc 65","Arc 65 record live TV to HDD","sales enquiry","Does the Arc 65 support recording over the air TV to a USB hard drive and scheduling series?"
"Luminor Arc 65","Arc 65 free wall mount promo","sales enquiry","I saw an ad about a free mount with purchase. Is that promotion still active for the Arc 65?"
"Luminor Arc 65","Arc 65 size options besides 65","sales enquiry","If I love it I might get a second one. What other sizes does the Luminor Arc line offer this year?"
"Luminor Arc 65","Arc 65 redesign of remote","sales enquiry","Is the current remote larger than last year and does it have backlit keys for dark rooms?"
"Luminor Arc 65","Arc 65 exact weight with stand","sales enquiry","I need to check my furniture load. What is the exact weight of the Arc 65 with and without its stand?"
"Luminor Arc 65","Arc 65 warranty international","sales enquiry","If I relocate, is the warranty honored in different regions or limited to the original purchase country?"
"Luminor Arc 65","Arc 65 built-in mic privacy","sales enquiry","Does the Arc 65 have a hardware switch to disable the built in microphones for privacy when not in use?"
"Luminor Arc 65","Arc 65 game bar overlay","sales enquiry","Can the Arc 65 show a gaming dashboard with FPS, VRR, and HDR indicators on demand?"
"Luminor Arc 65","Arc 65 support G-SYNC FreeSync","sales enquiry","Is the Arc 65 officially compatible with G-SYNC and FreeSync to avoid tearing with PC games?"
"Luminor Arc 65","Arc 65 art frame accessories","sales enquiry","Are there magnetic bezels or frames available to make the Arc 65 look like a framed picture?"
"Luminor Arc 65","Arc 65 screen uniformity claims","sales enquiry","Do you have any guarantee or tolerance policy around dirty screen effect and panel uniformity?"
"Luminor Arc 65","Arc 65 used as PC monitor","sales enquiry","Can the Arc 65 handle text clarity for desktop use at 4K 120 with 4 4 4 chroma in PC mode?"
"Luminor Arc 65","Arc 65 subpixel layout info","sales enquiry","For design work I care about subpixels. What is the Arc 65 subpixel layout and does it affect cleartype?"
"Luminor Arc 65","Arc 65 store pickup availability","sales enquiry","Is curbside pickup an option for the Arc 65 and how soon after ordering can I collect it?"
"Luminor Arc 65","Arc 65 finance 0 percent for 24 months","sales enquiry","Do you offer zero interest financing for 24 months on the Arc 65 and what is the minimum purchase amount?"
"Luminor Arc 65","Arc 65 panel shows clouding in corners","service issue","In dark scenes there are cloudy bright patches in the corners. It is very noticeable during letterbox films."
"Luminor Arc 65","Arc 65 remote laggy out of box","service issue","Button presses take a second to register even up close. New batteries did not improve the lag."
"Luminor Arc 65","Arc 65 screen black but audio plays","service issue","I can hear menu click sounds but the screen stays black. Power cycling sometimes brings it back briefly."
"Luminor Arc 65","Arc 65 eARC stutters with my receiver","service issue","Every few minutes audio drops for half a second over eARC. Regular ARC seems stable but I lose features."
"Luminor Arc 65","Arc 65 Wi-Fi disconnects nightly","service issue","Around 2 AM the TV disconnects and asks me to log in again the next day. Other devices stay online."
"Luminor Arc 65","Arc 65 HDMI handshake slow","service issue","Switching inputs takes 5 to 10 seconds with a black screen. It makes channel surfing painful."
"Luminor Arc 65","Arc 65 dead pixel near center","service issue","Found a bright stuck pixel near the center that stands out on dark scenes. This is day two of ownership."
"Luminor Arc 65","Arc 65 app crashes on launch","service issue","Several apps crash back to the home screen immediately. Clearing cache and reinstall did not help."
"Luminor Arc 65","Arc 65 voice assistant wakes randomly","service issue","The TV wakes and shows the voice overlay even when no one is speaking. It is creeping us out at night."
"Luminor Arc 65","Arc 65 power cycles during Netflix","service issue","During Netflix the TV restarts itself once per hour. Other apps seem fine so far."
"Luminor Arc 65","Arc 65 static hiss from speakers","service issue","When paused there is a faint hiss from the speakers. It disappears if I mute the TV."
"Luminor Arc 65","Arc 65 HDR too dim in game mode","service issue","HDR games look flat and dim compared to SDR. Game mode seems to clamp brightness too aggressively."
"Luminor Arc 65","Arc 65 local dimming pumps in credits","service issue","End credits cause the brightness to pulse. The effect is distracting and ruins the mood after films."
"Luminor Arc 65","Arc 65 24p judder noticeable","service issue","Even with motion smoothing off, 24p movies look choppy. Is there a true cinema cadence mode?"
"Luminor Arc 65","Arc 65 washed colors in SDR","service issue","SDR channels look desaturated and low contrast. HDR content looks better. Something is off with SDR gamma."
"Luminor Arc 65","Arc 65 won�t detect USB drive","service issue","My 2 TB drive works on a laptop but the TV does not see it. It is formatted exFAT as recommended."
"Luminor Arc 65","Arc 65 wall mount screws too short","service issue","The supplied screws do not reach through my bracket spacers. What size and length should I purchase?"
"Luminor Arc 65","Arc 65 OTA tuner finds no channels","service issue","After multiple scans the tuner finds zero channels, while a cheap set in the bedroom finds plenty."
"Luminor Arc 65","Arc 65 cannot join WPA2 Enterprise","service issue","Our network uses WPA2 Enterprise with certificates. The TV does not show options to authenticate."
"Luminor Arc 65","Arc 65 Bluetooth remote drops connection","service issue","The remote works for a minute then disconnects until I power cycle the TV. Very frustrating experience."
"Luminor Arc 65","Arc 65 random green flash","service issue","Occasionally the whole screen flashes green for a split second. It happens across apps and HDMI sources."
"Luminor Arc 65","Arc 65 update stuck at 99 percent","service issue","Firmware stuck near the end and never completes. I left it for an hour and it still hung at 99 percent."
"Luminor Arc 65","Arc 65 banding in gradients","service issue","Sky gradients show visible steps instead of smooth transitions. Reducing noise reduction did not help."
"Luminor Arc 65","Arc 65 light sensor over-dims","service issue","Auto brightness dims the screen too much at night. Manual setting looks fine but I want auto with less drop."
"Luminor Arc 65","Arc 65 lip sync issue with eARC","service issue","Audio arrives slightly behind video when using eARC to my receiver. Adjusting delay helps only a little."
"Luminor Arc 65","Arc 65 Eco mode locks brightness","service issue","Eco mode grays out the brightness control and picture is too dim. I would like the option to override it."
"Luminor Arc 65","Arc 65 vertical line after 2 weeks","service issue","A thin blue vertical line just appeared. Power cycling and different inputs did not fix it."
"Luminor Arc 65","Arc 65 game mode disables motion options","service issue","When game mode is on, motion settings vanish from the menu. I want to adjust blur and judder controls."
"Luminor Arc 65","Arc 65 HDMI 4 no signal","service issue","HDMI 4 will not recognize any device, while the same devices work on other ports with the same cable."
"Luminor Arc 65","Arc 65 stuck in store demo","service issue","The TV keeps showing store demo overlays and resets settings. I cannot find the option to disable retail mode."
"Luminor Arc 65","Arc 65 cannot rename inputs","service issue","Input labels revert to HDMI numbers after a reboot. The custom names do not stick."
"Luminor Arc 65","Arc 65 keyboard pairing fails","service issue","I am trying to pair a Bluetooth keyboard for searches but it fails to connect at the final step."
"Luminor Arc 65","Arc 65 overscan on cable box","service issue","Edges of the channel are cut off. I need a pixel perfect setting that does not change between channels."
"Luminor Arc 65","Arc 65 Chromecast built-in missing","service issue","Casting from my phone fails and there is no cast icon. It seems like Chromecast built in is missing."
"Luminor Arc 65","Arc 65 hotspot tether fails","service issue","The TV will not tether to my phone hotspot even though the password is correct and other devices connect."
"Luminor Arc 65","Arc 65 picture settings reset nightly","service issue","Each morning the TV has reverted to vivid mode. My calibrated settings will not persist overnight."
"Luminor Arc 65","Arc 65 remote backlight dead","service issue","The remote works but the key backlight never turns on in the dark. It used to glow on day one."
"Luminor Arc 65","Arc 65 color tint on right side","service issue","There is a warm tint on the right third of the panel visible on gray backgrounds and sports fields."
"Luminor Arc 65","Arc 65 white sparkles in dark areas","service issue","During dark scenes I see tiny white sparkles like noise. It is subtle but constant on multiple apps."
"Luminor Arc 65","Arc 65 audio drops every minute","service issue","Every sixty seconds audio cuts for a moment, then returns. Happens on HDMI and internal apps."
"Luminor Arc 65","Arc 65 HDMI-CEC turns console on","service issue","Whenever I turn on the TV it wakes the game console even when I want only broadcast TV."
"Luminor Arc 65","Arc 65 banding in skies","service issue","Blue skies look blotchy and stepped on sports broadcasts. Is there a setting to smooth gradients?"
"Luminor Arc 65","Arc 65 panel clicks when cooling","service issue","After powering off there are repeated clicking noises from the panel while it cools. Is that normal?"
"Luminor Arc 65","Arc 65 motion interpolation stuck on","service issue","Even with motion settings off, I still see soap opera effect. How do I fully disable interpolation?"
"Luminor Arc 65","Arc 65 subtitles out of sync","service issue","Subtitles lag behind dialog by about a second in multiple apps. Reinstalling apps did not fix it."
"Luminor Arc 65","Arc 65 ARC negotiates stereo only","service issue","My receiver only gets stereo from the TV over ARC. It should be Dolby 5.1 at least on streaming apps."
"Luminor Arc 65","Arc 65 cannot join 5GHz DFS channel","service issue","The TV will not connect to my router when it is using a DFS channel. Non DFS channels work."
"Luminor Arc 65","Arc 65 remote microphone not heard","service issue","The remote seems to record nothing when I press voice. The TV shows listening but no words appear."
"Luminor Arc 65","Arc 65 stuck at 1080p from PC","service issue","My PC refuses to output 4K to the TV and is locked at 1080p. Two cables tested with same result."
"Luminor Arc 65","Arc 65 power LED blinking pattern","service issue","The power LED blinks in a repeating pattern and the TV will not start. Is there a reset I can try at home?"